,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.5231187033280779,0.9,1.0,5.8,7.159999999999999,0.775,,0.6614581406615081,0.7005388392041898,0.2197451917260577,0.6770544328988721,0.6,0.5525670762360246,0.0
1,0.0,0.5970839173567917,1.2,1.6,5.8,7.159999999999999,0.775,,0.7016782935689931,0.7005388392041898,0.3687775758584956,0.710706886281436,0.6,0.40004726114797184,0.0
2,0.0,0.6745104598643092,1.6,1.8,5.8,7.159999999999999,0.775,,0.7591684259963651,0.7005388392041898,0.5387080546711203,0.6559771491876324,0.6,0.435860180828748,0.0
3,0.0,0.7117476243013665,1.7,2.0,5.8,7.159999999999999,0.775,,0.7552256326365467,0.7005388392041898,0.6696855762338418,0.6199009447621723,0.6,0.47458845028400587,0.0
4,10.0,0.6816936180861524,1.7,2.1,5.8,7.159999999999999,0.775,,0.7552256326365467,0.623932324551004,0.6696855762338418,0.6199009447621723,0.5166666666666667,0.47458845028400587,10.0
5,10.0,0.6816936180861524,1.7,2.1,5.8,7.159999999999999,0.775,,0.7552256326365467,0.623932324551004,0.6696855762338418,0.6199009447621723,0.5166666666666667,0.47458845028400587,10.0
6,10.0,0.6816936180861524,1.7,2.1,5.8,7.159999999999999,0.775,,0.7552256326365467,0.623932324551004,0.6696855762338418,0.6199009447621723,0.5166666666666667,0.47458845028400587,10.0
7,10.0,0.6816936180861524,1.7,2.1,5.8,7.159999999999999,0.775,,0.7552256326365467,0.623932324551004,0.6696855762338418,0.6199009447621723,0.5166666666666667,0.47458845028400587,10.0
8,10.0,0.6816936180861524,1.7,2.1,5.8,7.159999999999999,0.775,,0.7552256326365467,0.623932324551004,0.6696855762338418,0.6199009447621723,0.5166666666666667,0.47458845028400587,10.0
9,10.0,0.6816936180861524,1.7,2.1,5.8,7.159999999999999,0.775,,0.7552256326365467,0.623932324551004,0.6696855762338418,0.6199009447621723,0.5166666666666667,0.47458845028400587,10.0
