,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4572053752878608,0.18,1.0,28.84,171.81440000000003,0.8145305564516092,,0.3883476513513383,0.7287961444232142,0.22120099053765663,0.9005237567792268,0.58,0.5491872151138171,0.0
1,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
2,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
3,82.0,0.40152885545949313,0.84,1.76,28.84,171.81440000000003,0.8145305564516092,,0.5701882086966177,0.46134806794646865,0.24348083563465303,0.7905050684997458,0.06,0.47157650897093345,82.0
4,20.0,0.6027880282337097,0.96,2.48,28.84,171.81440000000003,0.8145305564516092,,0.7275880872631515,0.5082132270754558,0.6154245124764668,0.7105545824174747,0.3727809396485867,0.5030048089896464,20.0
5,8.0,0.6888193002739552,1.0,3.08,28.84,171.81440000000003,0.8145305564516092,,0.78144572259855,0.6655165176562187,0.6657056282994038,0.6860948386737918,0.8321118220015279,0.4963494122952929,8.0
6,4.0,0.7124879325586422,1.0,3.14,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7025941126333296,0.6829798234346609,0.688710923632989,0.9186940412528648,0.49649970677094823,4.0
7,4.0,0.7155865776231589,1.0,3.14,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
8,4.0,0.7155865776231589,1.0,3.14,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
9,4.0,0.7155865776231589,1.0,3.14,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
