,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4572053752878608,0.18,1.0,28.84,171.81440000000003,0.8145305564516092,,0.3883476513513383,0.7287961444232142,0.22120099053765663,0.9005237567792268,0.58,0.5491872151138171,0.0
1,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
2,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
3,82.0,0.397742431436755,0.8,1.78,28.84,171.81440000000003,0.8145305564516092,,0.5769316447363267,0.45040865162780636,0.24163435566444064,0.7845581970289289,0.05333333333333333,0.4696916254150259,82.0
4,26.0,0.5745286547200793,0.98,2.4,28.84,171.81440000000003,0.8145305564516092,,0.7003632099314516,0.49481674969162365,0.5826374093982198,0.7235378385792623,0.3427436338171632,0.5113127932848627,26.0
5,8.0,0.6839266475093223,1.02,3.06,28.84,171.81440000000003,0.8145305564516092,,0.78144572259855,0.6411859847016983,0.6657056282994038,0.6860948386737918,0.7823043990323403,0.4963494122952929,8.0
6,4.0,0.7133645578806245,1.02,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7048424667630367,0.6829798234346609,0.688710923632989,0.9458861726508786,0.49649970677094823,4.0
7,4.0,0.7155865776231589,1.02,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
8,4.0,0.7155865776231589,1.02,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
9,4.0,0.7155865776231589,1.02,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
