,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4644375550205233,0.061,1.0,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.3568273266623954,0.7641234826462746,0.2328867096667519,0.9267639222799386,0.608,0.5712791146645725,0.0
1,0.0,0.48195541893301636,0.082,1.059,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.3670667921371512,0.7641234826462746,0.27133692249667024,0.9223898260602492,0.608,0.5762347522292677,0.0
2,0.0,0.4883361648958362,0.089,1.08,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.37586558551648147,0.7641234826462746,0.28052623400215554,0.9179505244694864,0.608,0.5745441373476787,0.0
3,100.0,0.38715398270353785,0.683,1.731,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.5130172691174312,0.5084865272726462,0.18992063587080604,0.8217403628417859,0.0016666666666666666,0.48710391183010376,100.0
4,100.0,0.6395915092158909,0.921,2.355,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.6111002026165528,0.7641234826462746,0.5265492212220629,0.7744077994841603,0.0,0.5362460007711853,100.0
5,100.0,0.715002991260495,0.938,2.591,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.7136166427818976,0.7641234826462746,0.6289422772964313,0.713595133111704,0.0,0.5185598650414915,100.0
6,100.0,0.7193228737000036,0.938,2.608,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.7209874130511345,0.7641234826462746,0.6337857408817038,0.7091418024977081,0.0,0.5177058370164653,100.0
7,100.0,0.7193228737000036,0.938,2.608,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.7209874130511345,0.7641234826462746,0.6337857408817038,0.7091418024977081,0.0,0.5177058370164653,100.0
8,100.0,0.7193228737000036,0.938,2.608,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.7209874130511345,0.7641234826462746,0.6337857408817038,0.7091418024977081,0.0,0.5177058370164653,100.0
9,100.0,0.7193228737000036,0.938,2.608,283.594,6176.6491639999995,0.6588439175680066,1.729825825825826,0.7209874130511345,0.7641234826462746,0.6337857408817038,0.7091418024977081,0.0,0.5177058370164653,100.0
