,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4635195750933836,0.0575,1.0,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.354500800656883,0.7676904733473322,0.23456640714090937,0.9273179990386047,0.6126041666666667,0.5714449125959485,0.0
1,0.0,0.48041646406882355,0.075625,1.055,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.3651098592540479,0.7676904733473322,0.27085836622907505,0.9227915468851373,0.6126041666666667,0.5753297298206318,0.0
2,0.0,0.4849935983550708,0.0825,1.073125,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.37212517619426344,0.7676904733473322,0.27726249615747284,0.9186397195610914,0.6126041666666667,0.5741314388588138,0.0
3,100.0,0.38446739768561905,0.709375,1.725,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.5058828302696692,0.5102403035136959,0.18437977033961706,0.8237316400802206,0.0025,0.48683285974788176,100.0
4,100.0,0.646437566790454,0.92125,2.376875,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.617887498564336,0.7676904733473322,0.5344269251423908,0.7689259241082524,0.0,0.5336644692365566,100.0
5,100.0,0.7144372025262239,0.9425,2.5875,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.7122891785407987,0.7676904733473322,0.619569578278439,0.7131700389149356,0.0,0.5177536319354359,100.0
6,100.0,0.720294747635561,0.945,2.608125,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.7217971128561228,0.7676904733473322,0.6249160730582165,0.707109103073357,0.0,0.5159450391223672,100.0
7,100.0,0.7215088393472715,0.945,2.61,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.7231750385653293,0.7676904733473322,0.6240026659299562,0.7065312558780035,0.0,0.5153907275119011,100.0
8,100.0,0.7215088393472715,0.945,2.61,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.7231750385653293,0.7676904733473322,0.6240026659299562,0.7065312558780035,0.0,0.5153907275119011,100.0
9,100.0,0.7215088393472715,0.945,2.61,801.73,83957.1696,0.6792669092015587,1.4990447154471545,0.7231750385653293,0.7676904733473322,0.6240026659299562,0.7065312558780035,0.0,0.5153907275119011,100.0
