,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4572053752878608,0.16,1.0,28.84,171.81440000000003,0.8145305564516092,,0.3883476513513383,0.7287961444232142,0.22120099053765663,0.9005237567792268,0.58,0.5491872151138171,0.0
1,0.0,0.5017353797979728,0.18,1.14,28.84,171.81440000000003,0.8145305564516092,,0.41269655450369386,0.7287961444232142,0.31785718392950457,0.8904346197574591,0.58,0.5608802809652239,0.0
2,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
3,82.0,0.39898199350663616,0.82,1.74,28.84,171.81440000000003,0.8145305564516092,,0.5634447726569086,0.4550317927962474,0.24717379557507774,0.7943434852354687,0.06333333333333332,0.4753462760827486,82.0
4,22.0,0.5870447282155093,0.98,2.42,28.84,171.81440000000003,0.8145305564516092,,0.714115723813946,0.4977435005916783,0.6025518243189292,0.7181666506526573,0.3741778393175451,0.5091033862802469,22.0
5,6.0,0.6930832091398595,1.0,2.96,28.84,171.81440000000003,0.8145305564516092,,0.7651787849604453,0.6693454961885432,0.6736654703860601,0.6943148803651157,0.8499048892284187,0.4981420683575369,6.0
6,4.0,0.7135306987899195,1.0,2.98,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7052028794231131,0.6829798234346609,0.688710923632989,0.945974376114082,0.49649970677094823,4.0
7,4.0,0.7155865776231589,1.0,2.98,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
8,4.0,0.7155865776231589,1.0,2.98,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
9,4.0,0.7155865776231589,1.0,2.98,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
