,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4572053752878608,0.18,1.0,28.84,171.81440000000003,0.8145305564516092,,0.3883476513513383,0.7287961444232142,0.22120099053765663,0.9005237567792268,0.58,0.5491872151138171,0.0
1,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
2,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
3,82.0,0.40454859022113404,0.82,1.74,28.84,171.81440000000003,0.8145305564516092,,0.5634447726569086,0.4562908099146391,0.24717379557507776,0.7922350305003742,0.05333333333333333,0.4753462760827486,82.0
4,22.0,0.5872512978352744,0.96,2.42,28.84,171.81440000000003,0.8145305564516092,,0.7073877301381156,0.4920341907023877,0.5967958063792649,0.7171279404923403,0.40969085816144635,0.5062895321628237,22.0
5,8.0,0.6815109013874456,1.0,2.98,28.84,171.81440000000003,0.8145305564516092,,0.7682698856801781,0.6484152436542838,0.6593724485735268,0.6948782502132594,0.8123330786860198,0.494939346663749,8.0
6,4.0,0.7120404767671475,1.0,3.0,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7015847591487798,0.6829798234346609,0.688710923632989,0.9109201680672269,0.49649970677094823,4.0
7,4.0,0.7155865776231589,1.0,3.0,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
8,4.0,0.7155865776231589,1.0,3.0,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
9,4.0,0.7155865776231589,1.0,3.0,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
