,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4635141245138891,0.055,1.0,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.3543208902549586,0.7676904733473322,0.23460487547362213,0.9274379495615961,0.6126041666666667,0.5714841810033632,0.0
1,0.0,0.47972072607340266,0.074375,1.053125,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.36407552303483715,0.7676904733473322,0.26990718455037394,0.9229066705151591,0.6126041666666667,0.5755434991466215,0.0
2,0.0,0.4856705788360266,0.075625,1.0725,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.3729045898134632,0.7676904733473322,0.2782901022941148,0.9183212411008177,0.6126041666666667,0.5740653737186918,0.0
3,100.0,0.3849696232671873,0.6625,1.716875,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.5074399569868856,0.5105534448690139,0.18711662108385346,0.8233337084781235,0.0017708333333333335,0.48671024097831006,100.0
4,100.0,0.6351438934704227,0.910625,2.329375,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.6027336465523143,0.7676904733473322,0.5193956944126202,0.7778268983082094,0.0,0.5353535849325348,100.0
5,100.0,0.7139508096320663,0.930625,2.576875,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.7098326578017273,0.7676904733473322,0.6254623775460787,0.7135933812200094,0.0,0.5167203597362946,100.0
6,100.0,0.7192754511816151,0.930625,2.59625,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.7185041522361237,0.7676904733473322,0.6320406393866531,0.7086054355313316,0.0,0.5155604418657664,100.0
7,100.0,0.7192754511816151,0.930625,2.59625,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.7185041522361237,0.7676904733473322,0.6320406393866531,0.7086054355313316,0.0,0.5155604418657664,100.0
8,100.0,0.7192754511816151,0.930625,2.59625,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.7185041522361237,0.7676904733473322,0.6320406393866531,0.7086054355313316,0.0,0.5155604418657664,100.0
9,100.0,0.7192754511816151,0.930625,2.59625,454.39,15250.25165,0.6544011090863826,1.7213617886178862,0.7185041522361237,0.7676904733473322,0.6320406393866531,0.7086054355313316,0.0,0.5155604418657664,100.0
