,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.4572053752878608,0.16,1.0,28.84,171.81440000000003,0.8145305564516092,,0.3883476513513383,0.7287961444232142,0.22120099053765663,0.9005237567792268,0.58,0.5491872151138171,0.0
1,0.0,0.5017353797979728,0.18,1.14,28.84,171.81440000000003,0.8145305564516092,,0.41269655450369386,0.7287961444232142,0.31785718392950457,0.8904346197574591,0.58,0.5608802809652239,0.0
2,0.0,0.5082516925627196,0.18,1.16,28.84,171.81440000000003,0.8145305564516092,,0.42181042988808204,0.7287961444232142,0.3290344075878257,0.8844790800230612,0.58,0.5589094470613175,0.0
3,82.0,0.4045125154091929,0.8,1.76,28.84,171.81440000000003,0.8145305564516092,,0.5567013366171996,0.4674601352402672,0.25025126219209837,0.7981819019711913,0.06,0.47848774867592786,82.0
4,22.0,0.5804057888015719,0.96,2.48,28.84,171.81440000000003,0.8145305564516092,,0.6941964508558649,0.49764163177946186,0.5974332406003526,0.7289115375008057,0.3892718678380443,0.5111632655591999,22.0
5,6.0,0.6890016594765893,0.98,3.06,28.84,171.81440000000003,0.8145305564516092,,0.7651787849604453,0.6615349560890652,0.6736654703860601,0.6960702271009293,0.8488673924115101,0.4981420683575369,6.0
6,4.0,0.7132330670593654,0.98,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7044637495347872,0.6829798234346609,0.688710923632989,0.9402909663865546,0.49649970677094823,4.0
7,4.0,0.7155865776231589,0.98,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
8,4.0,0.7155865776231589,0.98,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
9,4.0,0.7155865776231589,0.98,3.08,28.84,171.81440000000003,0.8145305564516092,,0.7752789635229632,0.7106100077693104,0.6829798234346609,0.688710923632989,0.9627450980392157,0.49649970677094823,4.0
