,S1,S1_conf,ST,ST_conf
TP_percentage,-0.012284111223929457,0.035269728428878974,0.03602048904515727,0.026945447980471087
satisfaction_threshold,0.18025082488009878,0.10030260783721341,0.34150764333845157,0.08938432863470991
uncertainty_threshold,0.6524816578080818,0.1172971581870169,0.8069997113884558,0.1245985750982054
min_increase_percentage,0.0028749977968078318,0.003619584681734935,0.0003546980926355178,0.00033250981588963123
max_increase_percentage,9.339634046565095e-05,0.003115580544980541,0.00020387276836462091,0.00020760854054552996
