Adoption Rate,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty
0.0,0.6890176111829794,0.7676904733473322,0.47079688841549955,0.5694997392164813,0.0,0.6092792763515482
0.375,0.697591783552881,0.7629719674664611,0.6431730465539873,0.5463693490340887,0.9493379629629628,0.501336344421003
0.0,0.6573219920615222,0.7676904733473322,0.3430314757080622,0.5834050419018029,0.0,0.6293761307988482
0.0,0.6470505922842525,0.7676904733473322,0.47224470278616343,0.5155075456972159,0.0,0.73339978546442
0.0,0.6890176111829794,0.7676904733473322,0.47079688841549955,0.5694997392164813,0.0,0.6092792763515482
0.0,0.6880218873720624,0.7676904733473322,0.47006755444411014,0.5776305921890427,0.0,0.6089380457833973
0.0,0.6399409379992522,0.7676904733473322,0.4225308199615623,0.5251518243130632,0.0,0.728397428512483
0.0,0.6313994937558364,0.7676904733473322,0.48584602375493147,0.4892700283244487,1.0,0.8636339898388191
3.375,0.6768114247818917,0.7323462949845214,0.45978999822957833,0.5753452753599615,0.6516487730061351,0.5437741390928521
0.0,0.6313994937558364,0.7676904733473322,0.48584602375493147,0.4892700283244487,1.0,0.8636339898388191
0.0,0.6308028080040828,0.7676904733473322,0.48584602375493147,0.482783688099359,1.0,0.8636339898388191
0.0,0.6313994937558364,0.7676904733473322,0.48584602375493147,0.4892700283244487,1.0,0.8636339898388191
0.0,0.6289376468832159,0.7676904733473322,0.48584602375493147,0.4915733002420039,1.0,0.8636339898388191
0.0,0.6289376468832159,0.7676904733473322,0.48584602375493147,0.4915733002420039,1.0,0.8636339898388191
0.0,0.6289376468832159,0.7676904733473322,0.48584602375493147,0.4915733002420039,1.0,0.8636339898388191
91.0,0.6958526800425874,0.6874754352839034,0.0960252679133363,0.6166475472012081,0.0,0.4296739064365671
0.0,0.6289376468832159,0.7676904733473322,0.48584602375493147,0.4915733002420039,1.0,0.8636339898388191
0.0,0.6331321128963636,0.7676904733473322,0.48584602375493147,0.4805791434990714,1.0,0.8636339898388191
90.75,0.6979788316518277,0.6857684843784996,0.11901947196293379,0.6020852195878542,0.0013755158184318717,0.434212077519245
93.8125,0.6932046953898106,0.7104454944315826,0.0960252679133363,0.6028896883646543,0.0,0.4296739064365671
0.0,0.6331321128963636,0.7676904733473322,0.48584602375493147,0.4805791434990714,1.0,0.8636339898388191
93.8125,0.6988080919248355,0.7104846928024894,0.12618283880019207,0.6018670107976949,0.0013306719893546592,0.4352706976543992
94.1875,0.7013060252302401,0.7134535561135025,0.12659588043142922,0.6150872735728508,0.0006631299734748408,0.4358171172164967
93.875,0.6990926140169382,0.7111105203864488,0.1267350981598978,0.6017390884138805,0.0006653359946773296,0.4352904726689041
77.0625,0.6503588572824546,0.6025962036528686,0.32102834059914204,0.6054654069065566,0.2210991787744789,0.6388290285339292
86.8125,0.652063486513895,0.6563339263963929,0.32290383359326624,0.6042449219198898,0.129153605015674,0.6390698502918122
75.0,0.6446453344945559,0.5945733830663943,0.30691556424388267,0.608742594921392,0.24194567277321535,0.6354801857972515
67.1875,0.6470630187142012,0.5668114834137142,0.34661893118902315,0.5851944143444796,0.3171491297468354,0.6475505564085282
77.3125,0.6538807138129371,0.6038224099239543,0.3234820604692629,0.6226022593126866,0.21659278024065862,0.6394945259674821
77.25,0.6506426411844205,0.6034367611983753,0.3215271047170869,0.5919256773843727,0.21920404295641177,0.6389456518234643
61.9375,0.6369379378889809,0.5548563572940128,0.33820916774120036,0.5825212691167237,0.36873734977862116,0.6466436899327729
78.9375,0.645794169208422,0.6108655683522916,0.3383039241295906,0.597670331849809,0.2081504702194357,0.644419060820199
84.25,0.6415551441794514,0.6410857633753156,0.30691556424388267,0.6159065431688225,0.15538847117794488,0.6354801857972515
77.625,0.6425157099958168,0.6055324447796192,0.3239231701329537,0.583326225135595,0.22228566958698381,0.64005129635486
76.125,0.6415995166812501,0.5988251088636747,0.3274721002235701,0.611452539670205,0.23535014115432873,0.6422479700300547
76.25,0.6387944955454844,0.5993467720290524,0.3271254495280966,0.5986189141829652,0.23491457680250782,0.6421288866979441
0.0,0.6751378672795009,0.7676904733473322,0.689825776515338,0.5456739471371809,1.0,0.5015094319836313
0.0,0.6751378672795009,0.7676904733473322,0.689825776515338,0.5456739471371809,1.0,0.5015094319836313
0.0,0.6752023976222696,0.7676904733473322,0.6900799174559438,0.5456226664348869,1.0,0.5017920989958895
0.0,0.633692235726072,0.7676904733473322,0.48584602375493147,0.48713017982943296,1.0,0.8636339898388191
0.0625,0.6751378672795009,0.7670988225388679,0.689825776515338,0.5456739471371809,0.989010989010989,0.5015094319836313
0.0,0.680168348231146,0.7676904733473322,0.689825776515338,0.5531230938274799,1.0,0.5015094319836313
0.0,0.6266048693430137,0.7676904733473322,0.48584602375493147,0.49376125455850023,1.0,0.8636339898388191
0.0,0.6266048693430137,0.7676904733473322,0.48584602375493147,0.49376125455850023,1.0,0.8636339898388191
0.0,0.6802339148184159,0.7676904733473322,0.6900799174559438,0.5530705840377297,1.0,0.5017920989958895
0.0,0.6266048693430137,0.7676904733473322,0.48584602375493147,0.49376125455850023,1.0,0.8636339898388191
0.0,0.633692235726072,0.7676904733473322,0.48584602375493147,0.48713017982943296,1.0,0.8636339898388191
0.0,0.6266048693430137,0.7676904733473322,0.48584602375493147,0.49376125455850023,1.0,0.8636339898388191
0.0,0.6285237748712228,0.7676904733473322,0.48584602375493147,0.4849450761731338,1.0,0.8636339898388191
0.0,0.6285237748712228,0.7676904733473322,0.48584602375493147,0.4849450761731338,1.0,0.8636339898388191
0.0,0.6285237748712228,0.7676904733473322,0.48584602375493147,0.4849450761731338,1.0,0.8636339898388191
33.6875,0.6432991365440577,0.5649944759799298,0.3107086267307488,0.6003150105486454,0.059336823734729476,0.6367373328472214
0.0,0.6285237748712228,0.7676904733473322,0.48584602375493147,0.4849450761731338,1.0,0.8636339898388191
0.0,0.6308737042597774,0.7676904733473322,0.48584602375493147,0.48271652216777355,1.0,0.8636339898388191
30.375000000000004,0.6521622045400197,0.5742197461800218,0.33456273140515025,0.596409969307282,0.15331010452961671,0.6305079275262231
19.25,0.6458821605937288,0.6223725589656474,0.31048235046161926,0.5921318098159307,0.06382978723404253,0.6366817378606278
0.0,0.6308737042597774,0.7676904733473322,0.48584602375493147,0.48271652216777355,1.0,0.8636339898388191
16.375,0.6520797512224386,0.6374116003530874,0.3306814940510392,0.5935710112619135,0.2012195121951219,0.6360725943959915
16.1875,0.6531813556673819,0.6384072503312095,0.332906616424127,0.5960882350746551,0.21276595744680854,0.6354021200817602
15.687499999999998,0.6539424710018819,0.6409331078052447,0.3356855394906731,0.5930703485454303,0.23475609756097568,0.6326302064003714
