,S1,S1_conf,ST,ST_conf
TP_percentage,-0.01683015771490714,0.051507258345207745,0.0735592066645627,0.026664356903724536
satisfaction_threshold,0.04482166781653351,0.08616812306710296,0.195999522415935,0.06480594113476608
uncertainty_threshold,0.6980472296195445,0.13368218983582728,0.8361451370167698,0.13799737121222774
min_increase_percentage,-0.0010258221840096864,0.0183931255407702,0.012019068578947962,0.004217084236958125
max_increase_percentage,0.012958508596079466,0.016711309836314213,0.01016096221639328,0.001431761396745906
