,S1,S1_conf,ST,ST_conf
TP_percentage,0.00635635731869072,0.041218872726710674,0.052517076423715274,0.028297786459009853
satisfaction_threshold,0.35669966436414746,0.13723551451664354,0.5362065135717378,0.1083682576333192
uncertainty_threshold,0.4363097007148225,0.12985905572385614,0.7208421628479339,0.16780765778720824
min_increase_percentage,-0.00034988500114447696,0.011127107023690812,0.0058868583755594,0.0033443388860027153
max_increase_percentage,-0.0011740213296865334,0.014689618187515529,0.007705192178964829,0.0018903148277116795
